,Subject,Model,Th,Execution Time,Left Movements,TN,FP,Missed Actions - L,Right Movements,TP,FN,Missed Actions - R
0,g,LR,0.2,357.1861,52,40,0,12,110,81,14,15
1,g,LR,0.2,204.0009,60,40,0,20,95,81,8,6
2,g,LR,0.2,223.6864,54,40,0,14,117,81,17,19
3,g,LR,0.2,211.953,48,40,0,8,114,81,13,20
4,g,LR,0.2,203.7433,61,40,0,21,102,82,9,11
5,g,LR,0.2,191.7712,54,40,0,14,96,81,5,10
6,g,LR,0.2,209.2543,54,40,0,14,107,81,11,15
7,g,LR,0.2,237.8504,52,40,0,12,107,81,12,14
8,g,LR,0.2,315.6705,67,40,0,27,116,82,17,17
9,g,LR,0.2,220.9192,57,40,0,17,102,82,10,10
